Commodity,Date,Unit,Minimum,Maximum,Average
Clive Green,2013-07-05,kg,50.0,60.0,55.0
Fish Fresh,2013-07-05,kg,210.0,250.0,230.0
Tomato Big(Nepali),2013-07-09,kg,55.0,60.0,57.5
Tomato Small(Local),2013-07-09,kg,20.0,25.0,22.5
Potato Red,2013-07-09,kg,23.0,24.0,23.5
Potato White,2013-07-09,kg,18.0,20.0,19.0
Onion Dry (Indian),2013-07-09,kg,44.0,46.0,45.0
Carrot(Local),2013-07-09,kg,35.0,40.0,37.5
Cabbage(Local),2013-07-09,kg,12.0,16.0,14.0
Cauli Local,2013-07-09,kg,40.0,45.0,42.5
Raddish White(Local),2013-07-09,kg,20.0,25.0,22.5
Brinjal Long,2013-07-09,kg,38.0,40.0,39.0
Brinjal Round,2013-07-09,kg,40.0,45.0,42.5
Cow pea(Long),2013-07-09,kg,40.0,45.0,42.5
French Bean(Local),2013-07-09,kg,35.0,40.0,37.5
Bitter Gourd,2013-07-09,kg,40.0,45.0,42.5
Bottle Gourd,2013-07-09,kg,35.0,42.0,38.5
Pointed Gourd(Local),2013-07-09,kg,40.0,45.0,42.5
Snake Gourd,2013-07-09,kg,30.0,35.0,32.5
Smooth Gourd,2013-07-09,kg,40.0,45.0,42.5
Sponge Gourd,2013-07-09,kg,40.0,45.0,42.5
Pumpkin,2013-07-09,kg,18.0,20.0,19.0
Squash(Long),2013-07-09,kg,30.0,35.0,32.5
Okara,2013-07-09,kg,35.0,40.0,37.5
Arum,2013-07-09,kg,30.0,35.0,32.5
Christophine,2013-07-09,kg,35.0,40.0,37.5
Brd Leaf Mustard,2013-07-09,kg,35.0,40.0,37.5
Spinach Leaf,2013-07-09,kg,40.0,45.0,42.5
Cress Leaf,2013-07-09,kg,40.0,45.0,42.5
Mustard Leaf,2013-07-09,kg,35.0,40.0,37.5
Fenugreek Leaf,2013-07-09,kg,35.0,40.0,37.5
Onion Green,2013-07-09,kg,35.0,40.0,37.5
Mushroom(Kanya),2013-07-09,kg,180.0,200.0,190.0
Asparagus,2013-07-09,kg,120.0,130.0,125.0
Neuro,2013-07-09,kg,50.0,60.0,55.0
Sugarbeet,2013-07-09,kg,55.0,60.0,57.5
Red Cabbbage,2013-07-09,kg,60.0,70.0,65.0
Lettuce,2013-07-09,kg,35.0,40.0,37.5
Celery,2013-07-09,kg,120.0,130.0,125.0
Parseley,2013-07-09,kg,170.0,180.0,175.0
Fennel Leaf,2013-07-09,kg,35.0,40.0,37.5
Mint,2013-07-09,kg,120.0,130.0,125.0
Turnip A,2013-07-09,kg,45.0,50.0,47.5
Maize,2013-07-09,per piece,6.0,7.0,6.5
Tamarind,2013-07-09,kg,70.0,80.0,75.0
Bamboo Shoot,2013-07-09,kg,60.0,70.0,65.0
Tofu,2013-07-09,kg,55.0,60.0,57.5
Gundruk,2013-07-09,kg,170.0,180.0,175.0
Apple(Jholey),2013-07-09,kg,100.0,110.0,105.0
Banana,2013-07-09,per dozen,40.0,50.0,45.0
Lime,2013-07-09,kg,200.0,400.0,300.0
Pomegranate,2013-07-09,kg,200.0,220.0,210.0
Mango(Maldah),2013-07-09,kg,50.0,70.0,60.0
Grapes(Green),2013-07-09,kg,250.0,260.0,255.0
Water Melon(Green),2013-07-09,kg,40.0,45.0,42.5
Sweet Orange,2013-07-09,kg,90.0,100.0,95.0
Pineapple,2013-07-09,per piece,70.0,80.0,75.0
Cucumber(Local),2013-07-09,kg,30.0,35.0,32.5
Jack Fruit,2013-07-09,kg,15.0,20.0,17.5
Papaya(Nepali),2013-07-09,kg,50.0,60.0,55.0
Sugarcane,2013-07-09,per piece,60.0,70.0,65.0
Ginger,2013-07-09,kg,150.0,160.0,155.0
Chilli Dry,2013-07-09,kg,170.0,180.0,175.0
Chilli Green,2013-07-09,kg,40.0,50.0,45.0
Capsicum,2013-07-09,kg,90.0,100.0,95.0
Garlic Green,2013-07-09,kg,35.0,40.0,37.5
Coriander Green,2013-07-09,kg,80.0,90.0,85.0
Garlic Dry Chinese,2013-07-09,kg,90.0,100.0,95.0
Garlic Dry Nepali,2013-07-09,kg,70.0,80.0,75.0
Clive Dry,2013-07-09,kg,70.0,80.0,75.0
Clive Green,2013-07-09,kg,50.0,60.0,55.0
Fish Fresh,2013-07-09,kg,210.0,220.0,215.0
Tomato Big(Nepali),2013-07-10,kg,55.0,60.0,57.5
Tomato Small(Local),2013-07-10,kg,30.0,35.0,32.5
Potato Red,2013-07-10,kg,23.0,24.0,23.5
Potato White,2013-07-10,kg,18.0,20.0,19.0
Onion Dry (Indian),2013-07-10,kg,45.0,47.0,46.0
Carrot(Local),2013-07-10,kg,35.0,40.0,37.5
Cabbage(Local),2013-07-10,kg,14.0,16.0,15.0
Cauli Local,2013-07-10,kg,40.0,45.0,42.5
Raddish White(Local),2013-07-10,kg,25.0,30.0,27.5
Brinjal Long,2013-07-10,kg,40.0,45.0,42.5
Brinjal Round,2013-07-10,kg,45.0,50.0,47.5
Cow pea(Long),2013-07-10,kg,40.0,45.0,42.5
French Bean(Local),2013-07-10,kg,35.0,40.0,37.5
Soyabean Green,2013-07-10,kg,45.0,50.0,47.5
Bitter Gourd,2013-07-10,kg,40.0,45.0,42.5
Bottle Gourd,2013-07-10,kg,35.0,40.0,37.5
Pointed Gourd(Local),2013-07-10,kg,45.0,50.0,47.5
Snake Gourd,2013-07-10,kg,30.0,35.0,32.5
Smooth Gourd,2013-07-10,kg,35.0,40.0,37.5
Sponge Gourd,2013-07-10,kg,40.0,45.0,42.5
Pumpkin,2013-07-10,kg,18.0,20.0,19.0
Squash(Long),2013-07-10,kg,30.0,35.0,32.5
Okara,2013-07-10,kg,35.0,40.0,37.5
Arum,2013-07-10,kg,30.0,35.0,32.5
Christophine,2013-07-10,kg,35.0,40.0,37.5
Brd Leaf Mustard,2013-07-10,kg,35.0,40.0,37.5
Spinach Leaf,2013-07-10,kg,35.0,40.0,37.5
Cress Leaf,2013-07-10,kg,35.0,40.0,37.5
Mustard Leaf,2013-07-10,kg,30.0,35.0,32.5
Fenugreek Leaf,2013-07-10,kg,35.0,40.0,37.5
Onion Green,2013-07-10,kg,30.0,35.0,32.5
Mushroom(Kanya),2013-07-10,kg,180.0,200.0,190.0
Asparagus,2013-07-10,kg,120.0,150.0,135.0
Neuro,2013-07-10,kg,50.0,60.0,55.0
Sugarbeet,2013-07-10,kg,55.0,60.0,57.5
Red Cabbbage,2013-07-10,kg,60.0,70.0,65.0
Lettuce,2013-07-10,kg,45.0,50.0,47.5
Celery,2013-07-10,kg,120.0,130.0,125.0
Parseley,2013-07-10,kg,170.0,180.0,175.0
Fennel Leaf,2013-07-10,kg,45.0,50.0,47.5
Mint,2013-07-10,kg,120.0,130.0,125.0
Turnip A,2013-07-10,kg,45.0,50.0,47.5
Maize,2013-07-10,per piece,6.0,7.0,6.5
Tamarind,2013-07-10,kg,70.0,80.0,75.0
Bamboo Shoot,2013-07-10,kg,60.0,70.0,65.0
Tofu,2013-07-10,kg,55.0,60.0,57.5
Gundruk,2013-07-10,kg,180.0,190.0,185.0
Apple(Jholey),2013-07-10,kg,110.0,120.0,115.0
Banana,2013-07-10,per dozen,50.0,60.0,55.0
Lime,2013-07-10,kg,300.0,500.0,400.0
Pomegranate,2013-07-10,kg,200.0,220.0,210.0
Mango(Maldah),2013-07-10,kg,70.0,80.0,75.0
Grapes(Green),2013-07-10,kg,250.0,270.0,260.0
Water Melon(Green),2013-07-10,kg,40.0,45.0,42.5
Sweet Orange,2013-07-10,kg,90.0,100.0,95.0
Pineapple,2013-07-10,per piece,50.0,60.0,55.0
Cucumber(Local),2013-07-10,kg,30.0,35.0,32.5
Jack Fruit,2013-07-10,kg,15.0,20.0,17.5
Papaya(Nepali),2013-07-10,kg,50.0,60.0,55.0
Sugarcane,2013-07-10,per piece,50.0,60.0,55.0
Ginger,2013-07-10,kg,150.0,160.0,155.0
Chilli Dry,2013-07-10,kg,170.0,180.0,175.0
Chilli Green,2013-07-10,kg,30.0,35.0,32.5
Capsicum,2013-07-10,kg,90.0,100.0,95.0
Garlic Green,2013-07-10,kg,45.0,50.0,47.5
Coriander Green,2013-07-10,kg,90.0,100.0,95.0
Garlic Dry Chinese,2013-07-10,kg,90.0,100.0,95.0
Garlic Dry Nepali,2013-07-10,kg,70.0,80.0,75.0
Clive Dry,2013-07-10,kg,70.0,80.0,75.0
Fish Fresh,2013-07-10,kg,210.0,220.0,215.0
Tomato Big(Nepali),2013-07-11,kg,55.0,60.0,57.5
Tomato Small(Local),2013-07-11,kg,32.0,38.0,35.0
Potato Red,2013-07-11,kg,23.0,24.0,23.5
Potato White,2013-07-11,kg,18.0,20.0,19.0
Onion Dry (Indian),2013-07-11,kg,44.0,46.0,45.0
Carrot(Local),2013-07-11,kg,35.0,40.0,37.5
Cabbage(Local),2013-07-11,kg,14.0,16.0,15.0
Cauli Local,2013-07-11,kg,60.0,70.0,65.0
Raddish White(Local),2013-07-11,kg,25.0,30.0,27.5
Brinjal Long,2013-07-11,kg,35.0,40.0,37.5
Brinjal Round,2013-07-11,kg,40.0,45.0,42.5
Cow pea(Long),2013-07-11,kg,35.0,40.0,37.5
French Bean(Local),2013-07-11,kg,35.0,40.0,37.5
Soyabean Green,2013-07-11,kg,45.0,50.0,47.5
Bitter Gourd,2013-07-11,kg,35.0,40.0,37.5
Bottle Gourd,2013-07-11,kg,35.0,40.0,37.5
Pointed Gourd(Local),2013-07-11,kg,55.0,60.0,57.5
Snake Gourd,2013-07-11,kg,35.0,40.0,37.5
Smooth Gourd,2013-07-11,kg,25.0,30.0,27.5
Sponge Gourd,2013-07-11,kg,40.0,45.0,42.5
Pumpkin,2013-07-11,kg,18.0,20.0,19.0
Squash(Long),2013-07-11,kg,50.0,55.0,52.5
Okara,2013-07-11,kg,32.0,36.0,34.0
Arum,2013-07-11,kg,30.0,35.0,32.5
Christophine,2013-07-11,kg,40.0,45.0,42.5
Brd Leaf Mustard,2013-07-11,kg,35.0,40.0,37.5
Spinach Leaf,2013-07-11,kg,40.0,45.0,42.5
Cress Leaf,2013-07-11,kg,40.0,45.0,42.5
Mustard Leaf,2013-07-11,kg,30.0,35.0,32.5
Fenugreek Leaf,2013-07-11,kg,35.0,40.0,37.5
Onion Green,2013-07-11,kg,35.0,40.0,37.5
Mushroom(Kanya),2013-07-11,kg,180.0,200.0,190.0
Asparagus,2013-07-11,kg,120.0,130.0,125.0
Neuro,2013-07-11,kg,50.0,60.0,55.0
Sugarbeet,2013-07-11,kg,55.0,60.0,57.5
Red Cabbbage,2013-07-11,kg,60.0,70.0,65.0
Lettuce,2013-07-11,kg,45.0,50.0,47.5
Celery,2013-07-11,kg,120.0,130.0,125.0
Parseley,2013-07-11,kg,170.0,180.0,175.0
Fennel Leaf,2013-07-11,kg,40.0,45.0,42.5
Mint,2013-07-11,kg,120.0,130.0,125.0
Maize,2013-07-11,per piece,6.0,7.0,6.5
Tamarind,2013-07-11,kg,70.0,80.0,75.0
Bamboo Shoot,2013-07-11,kg,60.0,70.0,65.0
Tofu,2013-07-11,kg,55.0,60.0,57.5
Gundruk,2013-07-11,kg,170.0,180.0,175.0
Apple(Jholey),2013-07-11,kg,100.0,110.0,105.0
Banana,2013-07-11,per dozen,50.0,60.0,55.0
Lime,2013-07-11,kg,300.0,500.0,400.0
Pomegranate,2013-07-11,kg,190.0,200.0,195.0
Mango(Maldah),2013-07-11,kg,60.0,70.0,65.0
Grapes(Green),2013-07-11,kg,250.0,260.0,255.0
Water Melon(Green),2013-07-11,kg,40.0,45.0,42.5
Sweet Orange,2013-07-11,kg,90.0,100.0,95.0
Pineapple,2013-07-11,per piece,70.0,80.0,75.0
Cucumber(Local),2013-07-11,kg,30.0,35.0,32.5
Jack Fruit,2013-07-11,kg,15.0,18.0,16.5
Papaya(Nepali),2013-07-11,kg,50.0,60.0,55.0
Sugarcane,2013-07-11,per piece,50.0,60.0,55.0
Ginger,2013-07-11,kg,150.0,160.0,155.0
Chilli Dry,2013-07-11,kg,170.0,180.0,175.0
Chilli Green,2013-07-11,kg,30.0,40.0,35.0
Capsicum,2013-07-11,kg,90.0,100.0,95.0
Garlic Green,2013-07-11,kg,45.0,50.0,47.5
Coriander Green,2013-07-11,kg,60.0,80.0,70.0
Garlic Dry Chinese,2013-07-11,kg,90.0,100.0,95.0
Garlic Dry Nepali,2013-07-11,kg,70.0,80.0,75.0
Clive Green,2013-07-11,kg,60.0,70.0,65.0
Fish Fresh,2013-07-11,kg,210.0,220.0,215.0
Tomato Big(Nepali),2013-07-12,kg,70.0,80.0,75.0
Tomato Small(Local),2013-07-12,kg,44.0,48.0,46.0
Potato Red,2013-07-12,kg,23.0,24.0,23.5
Potato White,2013-07-12,kg,19.0,20.0,19.5
Onion Dry (Indian),2013-07-12,kg,44.0,46.0,45.0
Carrot(Local),2013-07-12,kg,45.0,50.0,47.5
Cabbage(Local),2013-07-12,kg,12.0,16.0,14.0
Cauli Local,2013-07-12,kg,40.0,50.0,45.0
Raddish White(Local),2013-07-12,kg,20.0,25.0,22.5
Brinjal Long,2013-07-12,kg,30.0,40.0,35.0
Brinjal Round,2013-07-12,kg,40.0,45.0,42.5
Cow pea(Long),2013-07-12,kg,35.0,40.0,37.5
French Bean(Local),2013-07-12,kg,30.0,35.0,32.5
Soyabean Green,2013-07-12,kg,55.0,60.0,57.5
Bitter Gourd,2013-07-12,kg,35.0,40.0,37.5
Bottle Gourd,2013-07-12,kg,30.0,35.0,32.5
Pointed Gourd(Local),2013-07-12,kg,35.0,40.0,37.5
Snake Gourd,2013-07-12,kg,35.0,40.0,37.5
Smooth Gourd,2013-07-12,kg,25.0,30.0,27.5
Sponge Gourd,2013-07-12,kg,30.0,35.0,32.5
Pumpkin,2013-07-12,kg,18.0,20.0,19.0
Squash(Long),2013-07-12,kg,45.0,50.0,47.5
Okara,2013-07-12,kg,30.0,35.0,32.5
Arum,2013-07-12,kg,30.0,35.0,32.5
Christophine,2013-07-12,kg,38.0,40.0,39.0
Brd Leaf Mustard,2013-07-12,kg,35.0,40.0,37.5
Spinach Leaf,2013-07-12,kg,40.0,45.0,42.5
Cress Leaf,2013-07-12,kg,40.0,45.0,42.5
Mustard Leaf,2013-07-12,kg,30.0,35.0,32.5
Fenugreek Leaf,2013-07-12,kg,40.0,45.0,42.5
Onion Green,2013-07-12,kg,40.0,45.0,42.5
Mushroom(Kanya),2013-07-12,kg,190.0,200.0,195.0
Asparagus,2013-07-12,kg,120.0,130.0,125.0
Neuro,2013-07-12,kg,50.0,60.0,55.0
Sugarbeet,2013-07-12,kg,55.0,60.0,57.5
Red Cabbbage,2013-07-12,kg,60.0,70.0,65.0
Lettuce,2013-07-12,kg,45.0,50.0,47.5
Celery,2013-07-12,kg,120.0,130.0,125.0
Parseley,2013-07-12,kg,170.0,180.0,175.0
Fennel Leaf,2013-07-12,kg,45.0,50.0,47.5
Mint,2013-07-12,kg,120.0,130.0,125.0
Turnip A,2013-07-12,kg,45.0,50.0,47.5
Maize,2013-07-12,per piece,6.0,7.0,6.5
Tamarind,2013-07-12,kg,70.0,80.0,75.0
Bamboo Shoot,2013-07-12,kg,60.0,70.0,65.0
Tofu,2013-07-12,kg,55.0,60.0,57.5
Gundruk,2013-07-12,kg,170.0,180.0,175.0
Apple(Jholey),2013-07-12,kg,100.0,110.0,105.0
Banana,2013-07-12,per dozen,50.0,60.0,55.0
Lime,2013-07-12,kg,400.0,500.0,450.0
Pomegranate,2013-07-12,kg,200.0,210.0,205.0
Mango(Maldah),2013-07-12,kg,60.0,70.0,65.0
Grapes(Green),2013-07-12,kg,250.0,260.0,255.0
Water Melon(Green),2013-07-12,kg,45.0,50.0,47.5
Sweet Orange,2013-07-12,kg,90.0,100.0,95.0
Pineapple,2013-07-12,per piece,70.0,80.0,75.0
Cucumber(Local),2013-07-12,kg,30.0,35.0,32.5
Jack Fruit,2013-07-12,kg,15.0,20.0,17.5
Papaya(Nepali),2013-07-12,kg,45.0,50.0,47.5
Sugarcane,2013-07-12,per piece,50.0,60.0,55.0
Ginger,2013-07-12,kg,160.0,170.0,165.0
Chilli Dry,2013-07-12,kg,170.0,180.0,175.0
Chilli Green,2013-07-12,kg,30.0,35.0,32.5
Capsicum,2013-07-12,kg,110.0,120.0,115.0
Garlic Green,2013-07-12,kg,45.0,50.0,47.5
Coriander Green,2013-07-12,kg,60.0,70.0,65.0
Garlic Dry Chinese,2013-07-12,kg,85.0,95.0,90.0
Garlic Dry Nepali,2013-07-12,kg,50.0,60.0,55.0
Clive Green,2013-07-12,kg,50.0,60.0,55.0
Fish Fresh,2013-07-12,kg,210.0,220.0,215.0
Tomato Big(Nepali),2013-07-14,kg,75.0,80.0,77.5
Tomato Small(Local),2013-07-14,kg,50.0,55.0,52.5
Potato Red,2013-07-14,kg,24.0,24.0,24.0
Potato White,2013-07-14,kg,18.0,19.0,18.5
Onion Dry (Indian),2013-07-14,kg,44.0,46.0,45.0
Carrot(Local),2013-07-14,kg,45.0,50.0,47.5
Cabbage(Local),2013-07-14,kg,14.0,16.0,15.0
Cauli Local,2013-07-14,kg,55.0,60.0,57.5
Raddish White(Local),2013-07-14,kg,20.0,25.0,22.5
Brinjal Long,2013-07-14,kg,40.0,45.0,42.5
Brinjal Round,2013-07-14,kg,45.0,50.0,47.5
Cow pea(Long),2013-07-14,kg,35.0,40.0,37.5
French Bean(Local),2013-07-14,kg,30.0,35.0,32.5
Soyabean Green,2013-07-14,kg,50.0,55.0,52.5
Bitter Gourd,2013-07-14,kg,30.0,35.0,32.5
Bottle Gourd,2013-07-14,kg,35.0,40.0,37.5
Pointed Gourd(Local),2013-07-14,kg,38.0,42.0,40.0
Snake Gourd,2013-07-14,kg,30.0,35.0,32.5
Smooth Gourd,2013-07-14,kg,25.0,30.0,27.5
Sponge Gourd,2013-07-14,kg,40.0,45.0,42.5
Pumpkin,2013-07-14,kg,18.0,20.0,19.0
Squash(Long),2013-07-14,kg,45.0,50.0,47.5
Okara,2013-07-14,kg,34.0,38.0,36.0
Arum,2013-07-14,kg,30.0,35.0,32.5
Christophine,2013-07-14,kg,40.0,45.0,42.5
Brd Leaf Mustard,2013-07-14,kg,40.0,45.0,42.5
Spinach Leaf,2013-07-14,kg,40.0,45.0,42.5
Cress Leaf,2013-07-14,kg,40.0,45.0,42.5
Mustard Leaf,2013-07-14,kg,30.0,35.0,32.5
Fenugreek Leaf,2013-07-14,kg,40.0,45.0,42.5
Onion Green,2013-07-14,kg,40.0,45.0,42.5
Mushroom(Kanya),2013-07-14,kg,190.0,200.0,195.0
Asparagus,2013-07-14,kg,120.0,130.0,125.0
Neuro,2013-07-14,kg,50.0,60.0,55.0
Sugarbeet,2013-07-14,kg,55.0,60.0,57.5
Red Cabbbage,2013-07-14,kg,60.0,70.0,65.0
Lettuce,2013-07-14,kg,45.0,50.0,47.5
Celery,2013-07-14,kg,120.0,130.0,125.0
Parseley,2013-07-14,kg,170.0,180.0,175.0
Fennel Leaf,2013-07-14,kg,45.0,50.0,47.5
Mint,2013-07-14,kg,120.0,130.0,125.0
Turnip A,2013-07-14,kg,45.0,50.0,47.5
Maize,2013-07-14,per piece,6.0,7.0,6.5
Tamarind,2013-07-14,kg,70.0,80.0,75.0
Bamboo Shoot,2013-07-14,kg,55.0,60.0,57.5
Tofu,2013-07-14,kg,55.0,60.0,57.5
Gundruk,2013-07-14,kg,170.0,180.0,175.0
Apple(Jholey),2013-07-14,kg,100.0,110.0,105.0
Banana,2013-07-14,per dozen,40.0,50.0,45.0
Lime,2013-07-14,kg,300.0,400.0,350.0
Pomegranate,2013-07-14,kg,200.0,210.0,205.0
Mango(Maldah),2013-07-14,kg,60.0,70.0,65.0
Grapes(Green),2013-07-14,kg,250.0,260.0,255.0
Water Melon(Green),2013-07-14,kg,40.0,45.0,42.5
Sweet Orange,2013-07-14,kg,90.0,100.0,95.0
Pineapple,2013-07-14,per piece,70.0,80.0,75.0
Cucumber(Local),2013-07-14,kg,30.0,35.0,32.5
Jack Fruit,2013-07-14,kg,14.0,16.0,15.0
Papaya(Nepali),2013-07-14,kg,45.0,50.0,47.5
Sugarcane,2013-07-14,per piece,50.0,60.0,55.0
Ginger,2013-07-14,kg,160.0,170.0,165.0
Chilli Dry,2013-07-14,kg,170.0,180.0,175.0
Chilli Green,2013-07-14,kg,35.0,40.0,37.5
Capsicum,2013-07-14,kg,110.0,120.0,115.0
Garlic Green,2013-07-14,kg,45.0,50.0,47.5
Coriander Green,2013-07-14,kg,70.0,80.0,75.0
Garlic Dry Chinese,2013-07-14,kg,85.0,95.0,90.0
Garlic Dry Nepali,2013-07-14,kg,60.0,70.0,65.0
Clive Green,2013-07-14,kg,50.0,60.0,55.0
Fish Fresh,2013-07-14,kg,210.0,220.0,215.0
Tomato Big(Nepali),2013-07-15,kg,75.0,80.0,77.5
Tomato Small(Local),2013-07-15,kg,50.0,55.0,52.5
Potato Red,2013-07-15,kg,23.0,24.0,23.5
Potato White,2013-07-15,kg,19.0,20.0,19.5
Onion Dry (Indian),2013-07-15,kg,44.0,46.0,45.0
Carrot(Local),2013-07-15,kg,35.0,40.0,37.5
Cabbage(Local),2013-07-15,kg,14.0,16.0,15.0
Cauli Local,2013-07-15,kg,55.0,65.0,60.0
Raddish White(Local),2013-07-15,kg,20.0,25.0,22.5
Brinjal Long,2013-07-15,kg,35.0,40.0,37.5
Cow pea(Long),2013-07-15,kg,40.0,50.0,45.0
French Bean(Local),2013-07-15,kg,35.0,40.0,37.5
Soyabean Green,2013-07-15,kg,55.0,60.0,57.5
Bitter Gourd,2013-07-15,kg,35.0,40.0,37.5
Bottle Gourd,2013-07-15,kg,30.0,35.0,32.5
Pointed Gourd(Local),2013-07-15,kg,40.0,45.0,42.5
Snake Gourd,2013-07-15,kg,30.0,35.0,32.5
Smooth Gourd,2013-07-15,kg,30.0,35.0,32.5
Sponge Gourd,2013-07-15,kg,30.0,35.0,32.5
Pumpkin,2013-07-15,kg,18.0,20.0,19.0
Squash(Long),2013-07-15,kg,35.0,40.0,37.5
Okara,2013-07-15,kg,30.0,35.0,32.5
Arum,2013-07-15,kg,30.0,35.0,32.5
Christophine,2013-07-15,kg,40.0,45.0,42.5
Brd Leaf Mustard,2013-07-15,kg,35.0,40.0,37.5
Spinach Leaf,2013-07-15,kg,35.0,40.0,37.5
Cress Leaf,2013-07-15,kg,30.0,35.0,32.5
Mustard Leaf,2013-07-15,kg,30.0,35.0,32.5
Fenugreek Leaf,2013-07-15,kg,35.0,40.0,37.5
Onion Green,2013-07-15,kg,35.0,40.0,37.5
Mushroom(Kanya),2013-07-15,kg,200.0,220.0,210.0
Asparagus,2013-07-15,kg,120.0,140.0,130.0
Neuro,2013-07-15,kg,50.0,60.0,55.0
Sugarbeet,2013-07-15,kg,55.0,60.0,57.5
Red Cabbbage,2013-07-15,kg,60.0,70.0,65.0
Lettuce,2013-07-15,kg,45.0,50.0,47.5
Celery,2013-07-15,kg,120.0,130.0,125.0
Parseley,2013-07-15,kg,160.0,170.0,165.0
Fennel Leaf,2013-07-15,kg,45.0,50.0,47.5
Mint,2013-07-15,kg,120.0,130.0,125.0
Maize,2013-07-15,per piece,7.0,8.0,7.5
Tamarind,2013-07-15,kg,60.0,70.0,65.0
Bamboo Shoot,2013-07-15,kg,60.0,70.0,65.0
Tofu,2013-07-15,kg,55.0,60.0,57.5
Gundruk,2013-07-15,kg,170.0,180.0,175.0
Apple(Jholey),2013-07-15,kg,100.0,110.0,105.0
Banana,2013-07-15,per dozen,40.0,50.0,45.0
Lime,2013-07-15,kg,300.0,400.0,350.0
Pomegranate,2013-07-15,kg,200.0,210.0,205.0
Mango(Maldah),2013-07-15,kg,60.0,70.0,65.0
Grapes(Green),2013-07-15,kg,250.0,260.0,255.0
Water Melon(Green),2013-07-15,kg,40.0,45.0,42.5
Sweet Orange,2013-07-15,kg,90.0,100.0,95.0
Pineapple,2013-07-15,per piece,60.0,70.0,65.0
Cucumber(Local),2013-07-15,kg,30.0,35.0,32.5
Jack Fruit,2013-07-15,kg,15.0,16.0,15.5
Papaya(Nepali),2013-07-15,kg,50.0,55.0,52.5
Sugarcane,2013-07-15,per piece,50.0,60.0,55.0
Ginger,2013-07-15,kg,160.0,170.0,165.0
Chilli Dry,2013-07-15,kg,170.0,180.0,175.0
Chilli Green,2013-07-15,kg,30.0,40.0,35.0
Capsicum,2013-07-15,kg,100.0,110.0,105.0
Garlic Green,2013-07-15,kg,45.0,50.0,47.5
Coriander Green,2013-07-15,kg,70.0,80.0,75.0
Garlic Dry Chinese,2013-07-15,kg,85.0,90.0,87.5
Garlic Dry Nepali,2013-07-15,kg,60.0,70.0,65.0
Clive Green,2013-07-15,kg,50.0,60.0,55.0
Fish Fresh,2013-07-15,kg,210.0,220.0,215.0
Tomato Big(Nepali),2013-07-16,kg,80.0,90.0,85.0
Tomato Small(Local),2013-07-16,kg,48.0,52.0,50.0
Potato Red,2013-07-16,kg,23.0,24.0,23.5
Potato White,2013-07-16,kg,19.0,20.0,19.5
Onion Dry (Indian),2013-07-16,kg,46.0,48.0,47.0
Carrot(Local),2013-07-16,kg,45.0,50.0,47.5
Cabbage(Local),2013-07-16,kg,14.0,16.0,15.0
Cauli Local,2013-07-16,kg,60.0,70.0,65.0
Raddish White(Local),2013-07-16,kg,20.0,25.0,22.5
Brinjal Long,2013-07-16,kg,30.0,35.0,32.5
Brinjal Round,2013-07-16,kg,40.0,45.0,42.5
Cow pea(Long),2013-07-16,kg,40.0,50.0,45.0
French Bean(Local),2013-07-16,kg,40.0,45.0,42.5
Soyabean Green,2013-07-16,kg,55.0,60.0,57.5
Bitter Gourd,2013-07-16,kg,40.0,45.0,42.5
Bottle Gourd,2013-07-16,kg,25.0,30.0,27.5
Pointed Gourd(Local),2013-07-16,kg,40.0,45.0,42.5
Snake Gourd,2013-07-16,kg,30.0,35.0,32.5
Smooth Gourd,2013-07-16,kg,25.0,35.0,30.0
Sponge Gourd,2013-07-16,kg,30.0,35.0,32.5
Pumpkin,2013-07-16,kg,18.0,20.0,19.0
Squash(Long),2013-07-16,kg,45.0,50.0,47.5
Okara,2013-07-16,kg,35.0,40.0,37.5
Arum,2013-07-16,kg,35.0,40.0,37.5
Christophine,2013-07-16,kg,40.0,45.0,42.5
Brd Leaf Mustard,2013-07-16,kg,35.0,40.0,37.5
Spinach Leaf,2013-07-16,kg,35.0,40.0,37.5
Cress Leaf,2013-07-16,kg,35.0,40.0,37.5
Mustard Leaf,2013-07-16,kg,25.0,30.0,27.5
Fenugreek Leaf,2013-07-16,kg,30.0,35.0,32.5
Onion Green,2013-07-16,kg,35.0,40.0,37.5
Mushroom(Kanya),2013-07-16,kg,230.0,250.0,240.0
Asparagus,2013-07-16,kg,120.0,140.0,130.0
Neuro,2013-07-16,kg,50.0,60.0,55.0
Sugarbeet,2013-07-16,kg,55.0,60.0,57.5
Red Cabbbage,2013-07-16,kg,60.0,70.0,65.0
Lettuce,2013-07-16,kg,45.0,50.0,47.5
Celery,2013-07-16,kg,120.0,130.0,125.0
Parseley,2013-07-16,kg,170.0,180.0,175.0
Fennel Leaf,2013-07-16,kg,45.0,50.0,47.5
Mint,2013-07-16,kg,120.0,130.0,125.0
Maize,2013-07-16,per piece,6.0,7.0,6.5
Tamarind,2013-07-16,kg,70.0,80.0,75.0
Bamboo Shoot,2013-07-16,kg,60.0,70.0,65.0
Tofu,2013-07-16,kg,60.0,70.0,65.0
Gundruk,2013-07-16,kg,170.0,180.0,175.0
Apple(Jholey),2013-07-16,kg,100.0,110.0,105.0
Banana,2013-07-16,per dozen,50.0,60.0,55.0
Lime,2013-07-16,kg,300.0,400.0,350.0
Pomegranate,2013-07-16,kg,200.0,210.0,205.0
Mango(Maldah),2013-07-16,kg,70.0,660.0,365.0
